('2017-04-25 15:59:37', 'JPMorgan Chase &amp; Co. $JPM Director Acquires $983020.00 in Stock https://t.co/zgkmqwtLIL')
('2017-04-24 21:47:56', 'https://t.co/3LjTzO1JrR Check my home boys New Video out $SPY $DIA $QQQ $FB $AAPL $GOOG $MSFT $INTC $GLD $SLV $GE $BAC $C $JPM $GS $DB $SPI')
('2017-04-24 21:45:17'," ""RT @Barchart: Today's #Stocks #Market Leaders By Price Volume\n$BCR $BAC $AMZN $AAPL $JPM $FB\nSee Full List ‰_Á•üè https://t.co/oYZf3jwHgP https‰Û_"")"
('2017-04-24 21:37:46', 'Scan results - Stochastic Buy Signal today: $SNY $JPM $URI $L $HOG $RICE $COH $BCS $FCX $C ... https://t.co/Obrj1X0wBk')
('2017-04-24 21:19:45'," ""RT @Barchart: Today's #Stocks #Market Leaders By Price Volume\n$BCR $BAC $AMZN $AAPL $JPM $FB\nSee Full List ‰_Á•üè https://t.co/oYZf3jwHgP https‰Û_"")"
('2017-04-24 21:18:51'," ""Today's #Stocks #Market Leaders By Price Volume\n$BCR $BAC $AMZN $AAPL $JPM $FB\nSee Full List ‰_Á•üè‰Û_ https://t.co/Hd9NtNwSLa"")"
('2017-04-24 21:14:34', 'A very bullish day for financials with $BAC +4.0% and $JPM +3.5%. https://t.co/C6jS1e3aN6  Bullish higher rates an‰Û_ https://t.co/j2bEjm0n0b')
('2017-04-24 21:07:27', 'Rafferty Asset Management LLC Sells 42116 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/Jvi1duGRKe')
('2017-04-24 21:07:26', 'Rafferty Asset Management LLC Sells 42116 Shares of JPMorgan Chase &amp; Co. $JPM https://t.co/MPvMPKiNG6')
('2017-04-24 21:05:59', 'RT @moneymorning: Shares of $GS $MS &amp; $JPM all added more than 3% today offering the biggest boost to the #DJIA. #closingbell #StockMarket')
('2017-04-24 20:47:21', 'Magnifique: Investors applaud French vote with stock rally\n$BAC $JPM\nhttps://t.co/jjfgw3JiQy via @Barchart')
('2017-04-24 20:44:48', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-24 20:43:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/FwdBqoUCmy')
('2017-04-24 20:37:24', 'Shares of $GS $MS &amp; $JPM all added more than 3% today offering the biggest boost to the #DJIA. #closingbell #StockMarket')
('2017-04-24 20:30:46'," ""Insiders' Week: JPMorgan Alphabet Netflix $NFLX $GOOG $CRM $JBL $ORMP $PLSE $JPM $SRNE https://t.co/wXt4sGfLEK"")"
('2017-04-24 20:27:34', 'Today my 5 BEST performing #stocks were $JPM $THO $C $ILMN &amp; $UAA @LaMonicaBuzz @petenajarian @caroljsroth #WINNING')
('2017-04-24 20:26:13', 'BUY $JPM 87.50 BUY $MMM 194.24 BUY $MO 72.53 BUY $NOK 5.37. More stock tips &amp; details at: https://t.co/KqrLGa93xM')
('2017-04-24 20:21:34', '$JPM Todays trading with JPMorgan Chase &amp; Co. for $87.555 on date April 24 2017. #Finance')
('2017-04-24 20:19:06', 'Top gains today from + $PVH (4%) + $BUD (4%) + $JPM (4%). Bought $ING $NUS $SAN. Sold $NUAN (+5.1%) $SLV‰Û_‰Û_ https://t.co/vq2jSacFOD')
('2017-04-24 20:16:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(3) (424b3) https://t.co/Y8Kz6e00LZ')
('2017-04-24 20:13:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/vHuYOGRUiI')
('2017-04-24 20:11:12', 'RT @DDCapitalFund: Putting on a couple longs at the close here $HD and $JPM small size bracketed')
('2017-04-24 20:10:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/bflrJ7e0Zx')
('2017-04-24 20:08:16', '$JPM $BAC:\n\n5 Ultra-Cheap Bank Stocks With High Dividends:\n\nhttps://t.co/K0QoCgkvan')
('2017-04-24 20:08:06', 'This Earnings Season Stinks - Or Does It? https://t.co/ZVqmdg3dYj $SPY $BAC $BNPQF $BNPQY $EBAY $F $GE $GS $IBM $JNJ $JPM $NFLX $PEP $PG')
('2017-04-24 20:06:13'," ""Today's million dollar CALL #options trade:\n$TSLA $AAPL $MSFT $WDC $PCLN $AMZN $DB $NOK $BA $C $JPM ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-24 20:03:10', 'This Earnings Season Stinks - Or Does It? https://t.co/QerR54lrXm $SPY $BAC $BNPQF $BNPQY $EBAY $F $GE $GS $IBM $JNJ $JPM $NFLX $PEP $PG')
('2017-04-24 20:03:09', 'This Earnings Season Stinks - Or Does It? https://t.co/Bd7IXGsbuA $SPY $BAC $BNPQF $BNPQY $EBAY $F $GE $GS $IBM $JNJ $JPM $NFLX $PEP $PG')
('2017-04-24 20:00:46', 'RT @DDCapitalFund: Putting on a couple longs at the close here $HD and $JPM small size bracketed')
('2017-04-24 19:57:54', 'Putting on a couple longs at the close here $HD and $JPM small size bracketed')
('2017-04-24 19:36:13', '$SPY $AAPL $GOOG $FB $BAC $JPM $GS - earnings have been great. Financials are due for a strong bounce back to highs')
('2017-04-24 19:35:41'," ""$SPY $AAPL $GOOG $FB $BAC $JPM $GS - if N. Korea/Trump don't provoke on another tomorrow market will have continue the relief rally."")"
('2017-04-24 19:35:12'," ""$SPY $AAPL $GOOG $FB $BAC $JPM $GS- the 10 yr hasn't moved as anticipated. Market worried about N. Korea (army's 85th anniversary tomorrow)"")"
('2017-04-24 19:13:06', '$USB $JPM $CMA:\n\nWhy Trump Is Causing Companies To Save Cash ‰ÛÓ Not Invest It:\n\nhttps://t.co/DM7ZRhEKdY')
('2017-04-24 19:04:51', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $ORCL $WFC $GS $BAC $HPE $EB‰Û_')
('2017-04-24 19:03:56', 'The Big Short by Michael Lewis: https://t.co/VE802GAvhc $GS $CS $C $JPM $BAC $SPY $VIX #stocks')
('2017-04-24 19:03:35', '$BAC $JPM $GS $C hedge fund money is going to be rotating into financials in May and early June in anticipation of June rate hike.')
('2017-04-24 19:01:46', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 19:01:06', 'Very Positive Press Coverage Likely to Impact JPMorgan Chase &amp; Co. $JPM Stock Price https://t.co/nPX20MHQwa')
('2017-04-24 19:01:02', 'Top #money flow today. Free stocks app https://t.co/5RPia7Qmp0\n$IWM $MSFT $SPY $FEZ $EEM $AAPL $AMZN $FB
('2017-04-24 19:00:20', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 18:56:45', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 18:48:55', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-24 18:44:07', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $ORCL $WFC $GS $BAC $HPE $EB‰Û_')
('2017-04-24 18:42:00', 'Swing Trading Stock Returns in February - SharePlanner $FB $TSLA $JPM $AAPL $GOOGL https://t.co/ffIfeucyis')
('2017-04-24 18:40:13', 'RT @talkingmoose_: Corps w/#h1b staff are #unAmerican $INTC $DIS $GOOG $MSFT $IBM $QCOM $NVDA $JPM $AAPL $AMZN $ORCL $WFC $GS $BAC $HPE $EB‰Û_')
('2017-04-24 18:36:19', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-24 18:25:45'," ""Sometimes it's not what you see it's what you DON'T see! Why wasn't $JPM flushing under $85 last week? Now we know‰Û_ https://t.co/XJAgJocUrG"")"
('2017-04-24 18:17:31', '$JPM breaking the down trendline off the March top https://t.co/zIAF3C4N3H')
('2017-04-24 18:12:00', '.@jpmorgan @BNYMellon\n$JNJ shareholder report discloses over 104000 lawsuits... only tip of iceberg! \nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 18:10:30', 'According to @ReformedBroker $JPM would be up $3.50 today regardless.  @OptionsHawk said we would have been down 4%. Thats what makes a mkt')
('2017-04-24 18:07:52'," ""I'm so boring that my main fever dream was literally a pretend but realistic $JPM earnings call"")"
('2017-04-24 18:06:24', '.@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 54800 #lawsuits re: pelvic meshes \nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 18:02:53', '.@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 18500 #lawsuits re: RISPERDALå¨ \nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 18:01:15', 'RT @jpmorgan: Latest $JPM Insights: How to keep treasury agile in an evolving market landscape.  https://t.co/9H7P9xs7Ys')
('2017-04-24 17:59:00', '.@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 16900 #lawsuits re: XARELTOå¨ \nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 17:58:31', '$JPM just kiss the G.D. ring')
('2017-04-24 17:54:01', '$JPM:\n\nNeel Down:\n\nhttps://t.co/qsK2cr4oao')
('2017-04-24 17:52:41', 'RT @arnabch01: #AI #ML #BigData #HPC #fintech #roboadvisor to revolutionize #AssetManagement #banking $BLK $C $JPM $GS $WFC $MS $BK https:/‰Û_')
('2017-04-24 17:49:08', '$jpm just noticed i closed out entire position oh well  %50 is 50%')
('2017-04-24 17:46:50', '$JPM army strong')
('2017-04-24 17:45:48'," "".@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 3100 #lawsuits re: Johnson'så¨ Baby Powder \nhttps://t.co/9zI57dQ7Gl\n$JPM $BK"")"
('2017-04-24 17:44:04', '$BAC $C $GS $JPM Financials still ripping higher')
('2017-04-24 17:43:11', '.@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 9400 #lawsuits re: PINNACLEå¨ Hips\nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 17:41:05', '.@jpmorgan @BNYMellon\nJohnson &amp; Johnson $JNJ faces 2000 #lawsuits RE: DePuy ASR‰ã¢ Hips\nhttps://t.co/9zI57dQ7Gl\n$JPM $BK')
('2017-04-24 17:38:51', 'Neel Down https://t.co/w1JHfGYrnT $BCDRF $BAC $JPM')
('2017-04-24 17:38:26', 'Neel Down https://t.co/tUuLFFlLl0 $BCDRF $BAC $JPM')
('2017-04-24 17:38:26', 'Neel Down https://t.co/sjhwqc4fVJ $BCDRF $BAC $JPM')
('2017-04-24 17:38:10', '$jpm took another 50% off here for +50%')
('2017-04-24 17:37:22', '$JPM Dow up more than 200 points as French vote triggers relief rally https://t.co/sfgLVXXcq2')
('2017-04-24 17:36:50', 'RT @InvestorPlace: Bank of America Clears Key Hurdle Thanks to French Elections $BAC $C $JPM - https://t.co/DlYApksDm3')
('2017-04-24 17:35:34', '$JPM up ~4% after posting earnings beating expectations.. https://t.co/7AWebdFp3h #Trumponomics #socialmedia #nfl #nba #tcot #breaking #news')
('2017-04-24 17:35:15', 'Bank of America Clears Key Hurdle Thanks to French Elections $BAC $C $JPM - https://t.co/Rl4vdSpQBv')
('2017-04-24 17:33:34', '#JPMorganChase organ Chinese IT : Directorate Change. Read more: https://t.co/YqOdAFg0DI $JPM')
('2017-04-24 17:33:16', 'Bank of America Clears Key Hurdle Thanks to French Elections $BAC $C $JPM - https://t.co/DlYApksDm3')
('2017-04-24 17:29:21', 'RT @GreenStocks2016: HUGE Bullish move 50MA $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $jpm‰Û_')
('2017-04-24 17:29:00', 'RT @GreenStocks2016: HUGE Bullish move 50MA $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $jpm‰Û_')
('2017-04-24 17:28:30', 'RT @GreenStocks2016: HUGE Bullish move 50MA $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs $jpm‰Û_')
('2017-04-24 17:28:25', 'HUGE Bullish move 50MA $SPY $QQQ $INDU $IWM $AGG $BND $GLD $BTC $GOOG $IVV $VTI $AAPL $FB $dia $indu $c $usd $gs‰Û_ https://t.co/QXsTvVps7w')
('2017-04-24 17:23:43', 'anyone who had $JPM +4% on french elections raise your hand')
('2017-04-24 17:23:31', 'Midday top of range: $FCAU $GPS $HPE $INFN $MAS $QEP $SWN $WEN 100 $MPC 99 $AET $CIEN $JPM 98 $DB $HFC $HZNP $PAH $PM $PSX $TSO $UA 97')
('2017-04-24 17:22:31'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 17:20:17', '19 S&amp;P 500 Index #stocks are UP &gt; 3% today as this post-French-election rally decimates short sellers. $BAC $JPM $MS $GS #Banks lifting.')
('2017-04-24 17:13:51', 'RT @insidermonkey: 11 Most #Profitable #Companies In The Fortune 500\n$JNJ $BAC $XOM $GOOG $C $VZ $GILD $WFC $BRK.B $JPM $AAPL\nhttps://t.co/‰Û_')
('2017-04-24 17:13:50', 'RT @insidermonkey: 11 Most #Profitable #Companies In The Fortune 500\n$JNJ $BAC $XOM $GOOG $C $VZ $GILD $WFC $BRK.B $JPM $AAPL\nhttps://t.co/‰Û_')
('2017-04-24 17:01:14', '$JPM added to current position on the breakout from falling wedge')
('2017-04-24 17:01:05'," ""Today's million dollar PUT #options trade update:\n$MAR $STX $FB $DIS $JPM $NVDA $WYNN $NFLX $AMZN ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-24 16:59:09', 'Very Positive Press Coverage Likely to Impact JPMorgan Chase &amp; Co. $JPM Stock Price https://t.co/QYLBhnFwNz')
('2017-04-24 16:58:41', '11 Most #Profitable #Companies In The Fortune 500\n$JNJ $BAC $XOM $GOOG $C $VZ $GILD $WFC $BRK.B $JPM $AAPL\nhttps://t.co/PqC4mQ6GRd')
('2017-04-24 16:58:21', '11 Most #Profitable #Companies In The Fortune 500\n$JNJ $BAC $XOM $GOOG $C $VZ $GILD $WFC $BRK.B $JPM $AAPL\nhttps://t.co/8dqIORR2Ll')
('2017-04-24 16:56:13'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:54:52', 'JPMorgan Chase &amp; Co. Sees Unusually Large Options Volume $JPM https://t.co/G53D9I4Xp2')
('2017-04-24 16:54:02', 'RT @Barchart: Vive le rally: Global markets soar after French election\n$BAC $JPM\nhttps://t.co/iDUxcHczTM via @Barchart')
('2017-04-24 16:49:33'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:49:00', 'Vive le rally: Global markets soar after French election\n$BAC $JPM\nhttps://t.co/iDUxcHczTM via @Barchart')
('2017-04-24 16:47:57', 'RT @harmongreg: Dragonfly Capital - The Ghost of JP Morgan ‰ÛÒ Buy My Stock: Bonus Idea https://t.co/TkmeMJFcXd $JPM $SPY https://t.co/JJTbv9‰Û_')
('2017-04-24 16:47:56'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:47:36', 'RT @harmongreg: The Ghost of JP Morgan - Buy My Stock: Bonus Idea - Dragonfly Capital... https://t.co/VT4E5FoC15 $JPM $SPY')
('2017-04-24 16:47:26', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 16:44:40'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:39:27'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:37:43'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:36:32', '$JPM 19-May-17 92.5-100 Put Spread traded  800 times for $7.00 with the market at 6.80-8.35 https://t.co/uDv0AMOgzk https://t.co/LvGxRw2t2z')
('2017-04-24 16:36:02'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:35:44'," ""Financials across the board gapping through last week's highs $JPM $WAL $BAC $HTBK $XLF $KRE"")"
('2017-04-24 16:35:35'," ""RT @YahooFinance: Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS $GS $‰Û_"")"
('2017-04-24 16:35:05', 'RT @frbronfen: $JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 16:34:43'," ""Today's charts: European U.S. banks rally on French election results https://t.co/QdC1GGoO6b @SeanaNSmith $DB $BCS‰Û_ https://t.co/iR2D9Zv2OS"")"
('2017-04-24 16:32:34', '$JPM...ok\nDo you want implicit or explicit warranties ?\n#fanniegate https://t.co/XeaWoX9vA6')
('2017-04-24 16:31:06', '$JPM 95 Calls SELLING Activity expiring on 21st Jul Vol 7290')
('2017-04-24 16:30:12', 'RT @KimbleCharting: $EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-24 16:27:09', 'Notable ETF Inflow Detected - $IVE $JPM $CSCO $C #etfs https://t.co/01TSONUDAy')
('2017-04-24 16:25:03'," ""$JPM it's all about the follow through tomorrow. @POTUS will bring the banks back down Wednesday. He kills momentum and is a failure. #maga"")"
('2017-04-24 16:24:13', 'RT @WallStJesus: $JPM REPEAT BULL SWEEPERS THROUGHOUT THE MORNING')
('2017-04-24 16:23:14', '4 Companies With Recent Dividend Increases: Review Using Dividend Safety Model - April 2017... https://t.co/9cRQJDAJec $CSCO $GD $JPM $RTN')
('2017-04-24 16:21:40', 'Retweeted Charles V Payne (@cvpayne):\n\nGlobalist Stocks Leading Rally \n$MS +4.4%\n$JPM +3.5%\n$GS +3.3%')
('2017-04-24 16:21:28', 'RT @cvpayne: Globalist Stocks Leading Rally \n$MS +4.4%\n$JPM +3.5%\n$GS +3.3%')
('2017-04-24 16:20:54', 'Goldman Sachs Banks Surge After French Election; Nasdaq At Record High: https://t.co/meeSuHxZBw $GS $JPM $CAT $VZ‰Û_ https://t.co/6BzlWYOTSA')
('2017-04-24 16:20:54', 'Goldman Sachs Banks Surge After French Election; Nasdaq At Record High: https://t.co/UtarJYfyfV $GS $JPM $CAT $VZ‰Û_ https://t.co/ydCh1Ioukj')
('2017-04-24 16:13:46', '$EFA stronger than banks for past 6-weeks testing key breakout level. $SPY $XLF $JPM $BAC https://t.co/SymkjQnebk')
('2017-04-24 16:12:51', '$JPM REPEAT BULL SWEEPERS THROUGHOUT THE MORNING')
('2017-04-24 16:11:11', '$jpm sold 1/4 here 87.70 for +50%')
('2017-04-24 16:08:53', 'Banks all up 3+ % .  Financial rally on French elections. Vive La France. @NotaBubble @yusschr @7wtc $MS $BAC $JPM $C')
('2017-04-24 16:04:38', 'James S. Crown Acquires 11500 Shares of JPMorgan Chase &amp; Co. $JPM Stock https://t.co/pyBxFnkR4o')
('2017-04-24 16:04:37', 'James S. Crown Acquires 11500 Shares of JPMorgan Chase &amp; Co. $JPM Stock https://t.co/Z2MriWogti')
('2017-04-24 16:01:17'," 'Everyone that wanted to ""wait for the pullback"" in Banks now have their reversal signal $JPM $XLF $KRE')"
