('2017-05-01 15:57:03', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0001140361-17-017485):\n\nhttps://t.co/HWuO6Z6wHh')
('2017-04-30 06:22:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:15:07', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:14:59', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:14:37', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:12:54', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:12:24', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:12:03', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:11:17', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:11:02', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:10:52', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:09:55', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:09:50', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:09:32', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:09:21', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:09:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:08:16', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:07:14', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:06:33', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:05:21', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:05:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:05:02', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:05:00', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:52', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:04:47', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:41', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:37', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:04:29', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:14', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:04:07', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:04:05', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:03:57', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:03:20', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:03:18', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:03:09', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:54', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:50', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:37', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:32', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:23', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:02:22', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:19', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:18', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:02:08', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:01:55', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:01:51', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:01:07', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:00:50', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:00:40', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 06:00:24', 'RT @InvestorHangout: Hot Stocks $AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM $TSLA $CDII $PUPS \n\nhtt‰Û_')
('2017-04-30 06:00:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 06:00:12', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:59:47', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:59:36', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:59:34', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:59:24', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:59:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:59:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:59:17', 'NWQ Investment Management Company LLC Has $154.692 Million Position in JPMorgan Chase &amp; Co. $JPM https://t.co/x8pVvOdpon')
('2017-04-30 05:59:01', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:58:59', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:58:44', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:58:24', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:58:13', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:58:11', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:58:06', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:59', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:50', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:45', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:43', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:36', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:36', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:35', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:25', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:23', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:23', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:23', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:19', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:15', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:14', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:14', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:10', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:05', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:05', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:57:04', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:03', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:57:02', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:57', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:56', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:56', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:55', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:55', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:53', 'RT @StockRockStars: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
('2017-04-30 05:56:52', 'RT @PennystocksMega: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XO‰Û_')
('2017-04-30 05:56:50', 'RT @platinumstock: _ÙÕ´ $PUPS WILL GO KABOOOM NEXT WEEK_ÙÕ´\n\n$AAPL $AMZN $TWTR $FB $NFLX $DIS $SIRI $FNMA $INTC $JPM $CHK $CMCSA $GOOG $PFE $XOM‰Û_')
