('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 17:23:58', 'Analysts‰Ûª Recent Ratings Changes for Netflix $NFLX https://t.co/xrk8WUxj5Y')
('2017-04-26 17:22:54', '$NFLX may rest another day maybe a Friday lotto opportunity.')
('2017-04-26 17:18:56'," ""Jim Cramer's Real Money: Sane Investing in an Insane World: https://t.co/cH8GoYgNd8 $AAPL $NFLX $AMZN"")"
('2017-04-26 17:17:04', '$NFLX $DIS:\n\nWhat Netflix Shareholders Should Know About BAMTech:\n\nhttps://t.co/oZyIFyfDKb')
('2017-04-26 17:16:12', '$NFLX Recently it was trading at 90s. Amazing.')
('2017-04-26 17:15:43'," ""$BABY This won't end well will it? $QQQ $SPY $DIA $DJIA $IWM $TLT $NFLX $AMZN $AAPL $FB $GOOG $GOOGL $TWTR‰Û_ https://t.co/RsltVzFhYJ"")"
('2017-04-26 17:15:19'," ""RT @cheddar: From @13ReasonsWhy to @HandmaidsOnHulu @PureWow's @kdara explains why this season's binge-worthy shows are so dark. #CheddarL‰Û_"")"
('2017-04-26 17:11:23', 'Netflix $NFLX P/E ratio is 200+. howww.')
('2017-04-26 17:08:43', '$NFLX maturity 05/05/2017 Vol PutCallRatio of 0.91 puts=6745 calls=7384 . https://t.co/062B8rj7QR https://t.co/nFQbd63byu')
('2017-04-26 17:08:11'," ""@msmg2927 @TraderEdgee inside day on $nflx.. taking a break after big move yesterday ..!! I am out of weekly's and‰Û_ https://t.co/lW1vs4hTGp"")"
('2017-04-26 17:07:47', 'Amazon Is Getting Serious About Video Games @themotleyfool #stocks $NFLX $AMZN $ATVI https://t.co/tXOO6Hsaa2')
('2017-04-26 17:06:11', '$SPY David Trungale: 2 #Stocks to Look at Now #Gold Outlook Cash Stop Losses &amp; More https://t.co/pnTbEvjhlJ $GLD $QQQ $AMZN $AAPL $NFLX')
('2017-04-26 17:03:55'," ""RT @cheddar: From @13ReasonsWhy to @HandmaidsOnHulu @PureWow's @kdara explains why this season's binge-worthy shows are so dark. #CheddarL‰Û_"")"
('2017-04-26 17:02:32', 'RT @johnscharts: $NFLX forming bearish harami a reversal signal. Time left in candle https://t.co/3Ulb45SS1V')
('2017-04-26 17:01:27'," ""From @13ReasonsWhy to @HandmaidsOnHulu @PureWow's @kdara explains why this season's binge-worthy shows are so dark‰Û_ https://t.co/mvras5QqWC"")"
('2017-04-26 17:01:11'," ""Today's million dollar PUT #options trade update:\n$CMG $TSLA $NFLX $GOOGL $CS $MSFT $APC $HIMX $STX ...\nhttps://t.co/ORtVUPaBpX"")"
('2017-04-26 16:56:13'," ""RT @MichaelGLamothe: Great move by $nflx yesterday and nice setup forming today.  At this point I'd add on a move above 153.52 w/ a stop be‰Û_"")"
('2017-04-26 16:56:04', '$NFLX forming bearish harami a reversal signal. Time left in candle https://t.co/3Ulb45SS1V')
('2017-04-26 16:49:49'," '$DRYS Just think of your investment as a ""donation"" $QQQ $DIA $DJIA $IWM $SPY $NFLX $AMZN #pennystocks #stockmarket #stocks #investing $AAPL')"
('2017-04-26 16:47:31', 'Out of $NFLX @ 150.83. + .5% on the trade.')
('2017-04-26 16:45:41', 'Healthy correlation b/w #SocialMedia Pulse &amp; Price for $NFLX. Not many cos are equally popular for users &amp; investor‰Û_ https://t.co/lB6HjGIyfJ')
('2017-04-26 16:40:28', 'The FANG 2017 https://t.co/W8aRF99bH5\n1. $FB           27.4%\n2. $NFLX      222%\n3. $AMZN     21.3%\n4. $GOOGL  12.0% https://t.co/rSTXtVT9aU')
('2017-04-26 16:37:54', '$TGT Fly pelican fly! (Scarface voice) $QQQ $SPY $DIA $DJIA $IWM $GOOG $GOOGL $AMZN $WMT $AAPL $FB $NFLX #stocks #stockmarket #investing $T')
('2017-04-26 16:32:30', 'MUST READ: A Pump And Trump Short Squeeze Play: https://t.co/ZihIz3fCKM $CSCO $NFLX $CVX $QQQ $IVE $HPE $NLY $HAL $SLB $AMGN')
('2017-04-26 16:14:42', '$NFLX holding over VWAP - can it fill this morning‰Ûªs gap down?')
('2017-04-26 16:10:27', 'Morning Coffee - CGWM (Feat. #Lumber $CFP $IFP $WFT $WEF $ABX $CNR $CAT
