('2017-04-17 15:59:15'," ""@ScottWapnerCNBC $AMZN crushes everyone they compete with.  $NFLX will be AMAZON'S next victim."")"
('2017-04-17 14:12:03'," ""RT @LeonLazaroff: Netflix $NFLX reports today. Here's what to expect from @TheStreet's @EricJhonsa: https://t.co/UcSblUxv40"")"
('2017-04-17 14:11:49', 'Will $NFLX beat earnings and revenue?')
('2017-04-17 14:11:46'," ""Netflix $NFLX reports today. Here's what to expect from @TheStreet's @EricJhonsa: https://t.co/UcSblUxv40"")"
('2017-04-17 14:10:52', '$NFLX wow idiots r fillin me @ bid on sum uv theeze weekly PUTS')
('2017-04-17 14:10:47', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 14:10:21', '10 Questions Heading into @Netflixs Q1 2017 Earnings Interview Tonight $NFLX https://t.co/B4viMcY3gL')
('2017-04-17 14:10:10', 'Over the last 20 Netflix $NFLX quarterly earnings reports there have been 13x when stock closed up or down by 10% or more.')
('2017-04-17 14:09:48', '$FB $AMZN $NFLX $GOOGL all strong this am largely due to $NFLX forthcoming er. But if miss gonna see bloody hell mkt tmr. RISKY to chase.')
('2017-04-17 14:06:43', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 14:06:35', 'RT @JustinPulitzer: Weekend Review Video 4/16: $VIX $TLT $GLD $SLV $IBB $SPY $IWM $QQQ $MSFT $AAPL $AMZN $FB $NFLX $TSLA $CAT $IBM $QCOM ht‰Û_')
('2017-04-17 14:06:17', 'For those curious about how Netflix $NFLX stock has performed after reporting earnings last column shows price mov‰Û_ https://t.co/W6AkB7vX0r')
('2017-04-17 14:05:58', '$NFLX 197% con balance al cierre')
('2017-04-17 14:05:08', 'NETFLIX REPORTS AFTER THE BELL ‰ÛÒ $NFLX https://t.co/sIFLzmQb71')
('2017-04-17 14:04:52', 'RT @pennyspicks: $UBQU +22% .05 Coming NEWS OUT!!\n$MJNA $TRTC $HEMP $CBIS $MCOA $RMHB $AAPL $GOOG $VAPE $MCIG $FNMA $AMZN $NFLX #POTSTOCKS‰Û_')
('2017-04-17 14:04:18', 'RT @TheDomino: Vs avg +/- 11.7% move for Netflix $NFLX stock after last 8 earnings reports.\n4 up days\n4 down days\nTypically volatile stock‰Û_')
('2017-04-17 14:04:05', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 14:03:56', '$UBQU +22% .05 Coming NEWS OUT!!\n$MJNA $TRTC $HEMP $CBIS $MCOA $RMHB $AAPL $GOOG $VAPE $MCIG $FNMA $AMZN $NFLX #POTSTOCKS #MMJ $OWCP $DOLV')
('2017-04-17 14:03:23', 'RT @OptionsHawk: Netflix $NFLX right before the close on Thursday with 1200 August $170/$120 bull risk reversals opened at $0.20 credit')
('2017-04-17 14:02:41', 'RT @harmongreg: added a few $NFLX Apr 145/150 CS selling 135 Put for 10c')
('2017-04-17 14:02:21', 'RT @afortunetraders: $Nflx earnings tonight.. I am holding for now $152.50 calls apr/21 exp at $2.80ish .. might bail before market close')
('2017-04-17 14:01:53', '$nflx support at 145.55  strong at 144.72. Resistance at 146.58')
('2017-04-17 14:01:37', 'Vs avg +/- 11.7% move for Netflix $NFLX stock after last 8 earnings reports.\n4 up days\n4 down days\nTypically volati‰Û_ https://t.co/sFwt36Kp8q')
('2017-04-17 14:00:51'," ""We ask @Newsy's @bsabatinelli if @AdamSandler is hurting @Netflix's prestige factor. #ChedddarLIVE $NFLX https://t.co/ftbe7Nzhtu"")"
('2017-04-17 14:00:45'," ""Of the 31 $SPY co's reporting 1Q17 results the collective corporate tax rate has been 25.07%. $NFLX $UAL report after the bell."")"
('2017-04-17 14:00:07', 'Today looks like FANG day as $FB $GOOGL $NFLX $AMZN all early gainers while most everything else lags $QQQ')
('2017-04-17 14:00:03', '$NFLX #InternetSoftwareAndServices sector comp is now available https://t.co/2tLI5sYXKb')
('2017-04-17 14:00:00', '$MYL $NFLX $ORCL $QCOM $SBUX $SOHU Trade long and short positions from the #NASDAQ up to 190% since 2011. https://t.co/T3Fv7dn8iq $QQQ $DIA')
('2017-04-17 13:59:03', 'RT @WrigleyTom: $NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics\nhttps://t.co/aN5hGJGDfe‰Û_')
('2017-04-17 13:58:53', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:58:41', '$Nflx earnings tonight.. I am holding for now $152.50 calls apr/21 exp at $2.80ish .. might bail before market close')
('2017-04-17 13:57:52', '$SPY Nice! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/ivx35T89As')
('2017-04-17 13:57:18', 'RT @eWhispers: #earnings expectations for $NFLX have pushed to a multi-year high ahead of results    https://t.co/tYnPOgig7P https://t.co/x‰Û_')
('2017-04-17 13:56:18', 'Netflix 2017 Will Be Very Different Than #netflix 2016 But The Stock Is Still A Buy And Hold $NFLX #stocks #Finance https://t.co/0uFmnCpTAm')
('2017-04-17 13:54:48', 'added a few $NFLX Apr 145/150 CS selling 135 Put for 10c')
('2017-04-17 13:54:37', 'RT @AlertTrade: #UpWithEarningsToday $NFLX NETFLIX #TradeIdeas via ‰_Á https://t.co/VS8RO1bzXJ to #FreeTradingRoom')
('2017-04-17 13:54:25', '#UpWithEarningsToday $NFLX NETFLIX #TradeIdeas via ‰_Á https://t.co/VS8RO1bzXJ to #FreeTradingRoom')
('2017-04-17 13:53:19', 'RT @JustinPulitzer: Will $NFLX trade Higher or Lower Today after the close on earnings?')
('2017-04-17 13:53:01', 'Will $NFLX trade Higher or Lower Today after the close on earnings?')
('2017-04-17 13:50:01', '@cheddar @netflix $nflx is not in China.. .')
('2017-04-17 13:49:15', 'RT @amberkanwar: #5things on scraped together on a slow Monday $NFLX $MCD https://t.co/jS7zXxBS4A')
('2017-04-17 13:48:28', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:45:19', 'RT @eWhispers: #earnings expectations for $NFLX have pushed to a multi-year high ahead of results    https://t.co/tYnPOgig7P https://t.co/x‰Û_')
('2017-04-17 13:44:28', '#earnings expectations for $NFLX have pushed to a multi-year high ahead of results    https://t.co/tYnPOgig7P https://t.co/xJmuJ4dobN')
('2017-04-17 13:44:17', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:42:22'," ""RT @GerberKawasaki: #stocks start higher on stong #China GDP and tech earnings on tap with Netflix today. It's higher $nflx Nvidia is also‰Û_"")"
('2017-04-17 13:41:49', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:41:44', '#SiliconValley #stocks on watch:\n$TSLA $CLSN $STRP $ARYC $ATT $AMZN  $GSAY $AAOI $NFLX $AMD')
('2017-04-17 13:41:34', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:41:33', '$NFLX added sum weekly 144 PUTS on this pop thanx')
('2017-04-17 13:40:22', 'Bo Dikeman placed an order to buy Netflix Inc. $NFLX\nhttps://t.co/lIY6A5PNtv')
('2017-04-17 13:40:06', 'RT @Sassy_SPY: This weeks Open Interest Analysis &amp; Strategies $AAPL $AMZN $BIDU $FB $GOOGL $GS $NFLX $TSLA premium post https://t.co/l7o4cV‰Û_')
('2017-04-17 13:38:31'," ""RT @GerberKawasaki: #stocks start higher on stong #China GDP and tech earnings on tap with Netflix today. It's higher $nflx Nvidia is also‰Û_"")"
('2017-04-17 13:37:56'," ""#stocks start higher on stong #China GDP and tech earnings on tap with Netflix today. It's higher $nflx Nvidia is also higher. $nvda"")"
('2017-04-17 13:37:32', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:36:37', '#TRADING stocks on the move $STRP $AMZN $ALR $SVXY $NFLX $INCY $LNCE $LLY $HCA https://t.co/1Jipxqv7V2')
('2017-04-17 13:36:17', '$NFLX 150.IMMINENT')
('2017-04-17 13:36:11'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 13:36:09', 'Repost: PROJECTED US Stocks Weekly(l) &amp; Daily 17Apr(r) Ranges: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA‰Û_ https://t.co/JeuAGSW2v0')
('2017-04-17 13:35:31', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:35:31'," ""Don't look to #jump #over #seven #foot #bars look #around for one #foot bars that you can #step over. $MGI $NFLX $AAPL $MTB $UAL $ALR $SWC"")"
('2017-04-17 13:35:30', '$NFLX 144.BREAKOUT')
('2017-04-17 13:34:42', 'RT @WrigleyTom: $NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics\nhttps://t.co/aN5hGJGDfe‰Û_')
('2017-04-17 13:34:24', 'RT @TraderMentality: FANG daily channel up. Inside &amp; down. Testing the 20d.\n$FB $AMZN $NFLX $GOOG https://t.co/Mz7wipBvkM')
('2017-04-17 13:34:17', '$nflx calls on fire. ..')
('2017-04-17 13:34:16', 'RT @WrigleyTom: $NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics\nhttps://t.co/aN5hGJGDfe‰Û_')
('2017-04-17 13:34:07', 'RT @ProVesting: $.DJI $.SPX $.IXIC $NFLX $CE:\n\nUS stocks open higher as Wall Street shrugs off geopolitical tensions:\n\nhttps://t.co/xEJ5L4j‰Û_')
('2017-04-17 13:34:01', '$NFLX did they already release earningz?')
('2017-04-17 13:34:01', '#Shares of $NFLX are in focus as the global #streaming giant prepares to report #Q1 earnings.')
('2017-04-17 13:33:05', '$.DJI $.SPX $.IXIC $NFLX $CE:\n\nUS stocks open higher as Wall Street shrugs off geopolitical tensions:\n\nhttps://t.co/xEJ5L4jU21')
('2017-04-17 13:33:02', '$NFLX this morning _Ù÷¨')
('2017-04-17 13:31:51', '#Markets Under Pressure after Weak #USData $FXE  $FXB  $FXY  $GLD  $OIL  $USO  $UUP  $TNX $BAC  $GS  $IBM  $UL $NFLX https://t.co/Ka6RnkAdLC')
('2017-04-17 13:31:34', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:31:33', 'RT @OMillionaires: $NFLX reports earnings Monday after the close - options implying an 8.2% move - has closed ‰Â ‰Âà 11.83% on average past 12‰Û_')
('2017-04-17 13:30:19', 'Eye on $NFLX as it has macd cross on 3 minutes chart')
('2017-04-17 13:30:05', 'Netflix Inc. (NASDAQ $NFLX) Considering Selling Merchandise Based on‰Û_ https://t.co/py5vZiqx5w #Telecom #netflix‰Û_ https://t.co/gqoMtqLHQa')
('2017-04-17 13:27:40', 'RT @OptionsHawk: Netflix $NFLX right before the close on Thursday with 1200 August $170/$120 bull risk reversals opened at $0.20 credit')
('2017-04-17 13:27:21', 'RT @WrigleyTom: $NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics\nhttps://t.co/aN5hGJGDfe‰Û_')
('2017-04-17 13:26:55', '$SPY $VXX $TSLA $NTES update. $NFLX eps ah. China stk crackdown\n4/21: MoOpex\n4/23: French vote\nWatchlist: TSLA‰Û_ https://t.co/3fpGWkkmJO')
('2017-04-17 13:26:02', 'US Stocks on Open - Projected WEEKLY(l) &amp; DAILY 17Apr (r) Ranges: $AAPL $AGN $AMZN $BAC $FB $GOOG $GILD $NFLX $NVDA‰Û_ https://t.co/VjjGwnxMLA')
('2017-04-17 13:25:27', 'boy analysts outta da woodwork this mornin pumpin pigz it must b monday $AAPL $FB $NFLX $V')
('2017-04-17 13:25:27', '#XRIM #MONEY FoxBusiness\n\n#StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/UmQF5i2zqI\n\n‰ÛÓ FOX Business (FoxBusines‰Û_')
('2017-04-17 13:25:17', '$NFLX Earnings Analysis And Prediction... https://t.co/5S0UGRUGyG')
('2017-04-17 13:25:13', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:24:19', 'FANG daily channel up. Inside &amp; down. Testing the 20d.\n$FB $AMZN $NFLX $GOOG https://t.co/Mz7wipBvkM')
('2017-04-17 13:24:15', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:23:54', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:23:28', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:22:56', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:22:15', 'RT @FoxBusiness: #StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:22:02', '#StockAlert - Stocks to watch today on #WallStreet $GM $NFLX https://t.co/6zBYEaEZ7t')
('2017-04-17 13:21:40', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:20:24'," ""$NFLX reports earnings today. Here's another look at @EricJhonsa's preview for @TheStreet. https://t.co/mRjuRKmCfL"")"
('2017-04-17 13:19:12', '$NFLX #Netflix #earnings: As the streaming company increases content #investment here‰Ûªs what to expect https://t.co/36aLz5m5GB #stocks $QQQ')
('2017-04-17 13:18:54', 'RT @chessNwine: Brief Video to Help Prepare You for This Week: https://t.co/4uqTodRoKa $IWM $QQQ $NFLX $SPY $XIV')
('2017-04-17 13:17:15', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:17:14', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 13:15:41', 'Brief Video to Help Prepare You for This Week: https://t.co/4uqTodRoKa $IWM $QQQ $NFLX $SPY $XIV')
('2017-04-17 13:15:14'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 13:14:31', 'RT @eWhispers: #earnings $BAC $NFLX $GS $UNH $JNJ $IBM $GE $QCOM $VZ $SCHW $MS $CUDA $BX $PGR $V $MTB $HOG $ABT $UAL $CMA $RF $USB  https:/‰Û_')
('2017-04-17 13:14:17', 'Top Wall Street Analysts: Will this be an eggs-cellent Easter for Netflix?\n https://t.co/xRneWwwCpG $NFLX https://t.co/hqBxIy2hyg')
('2017-04-17 13:14:11', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:13:58', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:13:35', '$MDXG What do you think about it? #InvestorsHangout $NFLX $OAS $OOMA $SWK $SXC\n\n https://t.co/UEJAw0Ip5E')
('2017-04-17 13:13:01', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:12:06', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:12:02'," ""De-risked data play into the 27th. Can't wait $$$ $NFJ $NFLT $NFLX $NFO $NFRA $NFX https://t.co/HBgAFjbIsd"")"
('2017-04-17 13:12:02', '5 Things You Must Know B4 the Market Opens Today https://t.co/PXAivdgAe5 https://t.co/kNkKzHYnnT $DJIA $QQQ $SPY $UAL $NFLX $LLY $WMT $BABA')
('2017-04-17 13:11:04', '$NFLX $UAL:\n\nDow Jones Industrial Average Futures Shrug Off North Korea Tensions:\n\nhttps://t.co/JqIENQRy9B')
('2017-04-17 13:10:55', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:09:57', 'Nothing looks amazing so far but looking at $NFLX $TSLA $INCY $LLY $STRP')
('2017-04-17 13:09:57', 'EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps://t.co/JDxVvewlZ7')
('2017-04-17 13:09:54', 'RT @WrigleyTom: $NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics\nhttps://t.co/aN5hGJGDfe‰Û_')
('2017-04-17 13:09:48', 'My watch list today .. $amd $fb $nflx $bac $aapl $amzn $baba')
('2017-04-17 13:09:37', '$NFLX EPS ~$0.37-0.38 Sales ~$2.64B Sub Adds ~5.3M IV ~+/-$10-12 @WrigleyTom https://t.co/tBn5oNT7QX')
('2017-04-17 13:09:14', '$NFLX \n\nEPS ~$0.37-0.38\nSales ~$2.64B\nSub Adds ~5.3M\nIV ~+/-$10-12\n\nhttps://t.co/l17Zjt5E2U metrics‰Û_ https://t.co/e3IwHKit58')
('2017-04-17 13:07:58', 'Recent $NFLX technical alerts: Fell Below 50 DMA... https://t.co/Yx89LTtNyQ')
('2017-04-17 13:07:00', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 13:06:19', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN TWTR https://t.co/jG3DvqdmL5')
('2017-04-17 13:05:11'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 13:05:07'," 'RT @option_snipper: Funny to see lots of ""chartists"" make judgment ONLY based on DAILY charts... check weekly &amp; monthly w/ BOLL $TSLA $CMG‰Û_')"
('2017-04-17 13:03:23'," ""RT @WrigleyTom: ER's\n$AXP $BAC $CSX $EBAY $GS $GE $GPC $HON $HOG\n$IBM $ISRG $JNJ $LRCX $MS $MXIM $NFLX $PFPT\n$QCOM $STLD $SHW $SNA $SKX $UA‰Û_"")"
('2017-04-17 13:02:56', 'EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps://t.co/dgrwRRs9zp')
('2017-04-17 13:02:02', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 13:01:12', 'RT @stockmonitorapp: Wall Street seen lower as tensions mount over North Korea https://t.co/ZgdwWd5xil $NFLX #stocks #trading https://t.co/‰Û_')
('2017-04-17 13:00:49', 'RT @MarginHunt: Netflix $NFLX has little Margin of Safety for Value Investors before earnings Monday https://t.co/rkrOiAywLc https://t.co/A‰Û_')
('2017-04-17 13:00:46', '$NFLX earnings after the bell _ÙÓÓ https://t.co/dO45XRPdTk')
('2017-04-17 13:00:35', 'Wall Street seen lower as tensions mount over North Korea https://t.co/ZgdwWd5xil $NFLX #stocks #trading https://t.co/WQmPnH9EBi')
('2017-04-17 13:00:34'," ""RT @ChrisPrybal: Will $NFLX's Cash Flow growth disappoint? https://t.co/BCXK1r8NzG"")"
('2017-04-17 13:00:12', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:59:51', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:59:29', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:59:02', 'RT @whotrades: Action List for Monday April 17 2017 https://t.co/mjcFvbmp7n $AAPL $X $AKS $MU $AMD $NVDA $NFLX $INTC $MSFT https://t.co/l‰Û_')
('2017-04-17 12:58:07', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $PCLN $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.‰Û_')
('2017-04-17 12:58:05', 'RT @whotrades: Action List for Monday April 17 2017 https://t.co/mjcFvbmp7n $AAPL $X $AKS $MU $AMD $NVDA $NFLX $INTC $MSFT https://t.co/l‰Û_')
('2017-04-17 12:56:55', 'Note $NFLX options jacked.\n\nFuck ER trading.  Death wish')
('2017-04-17 12:56:09', 'Which side are you on with Netflix earnings today? $NFLX')
('2017-04-17 12:55:55', 'Netflix will report first quarter fiscal 2017 earnings results after the closing bell today:‰Û_ https://t.co/X7id8ipbMV')
('2017-04-17 12:54:45', 'RT @IcemanTrading: Some ER AH \n\n$BRO $CUDA $NFLX $PNFP $UAL https://t.co/WAWKEBE68B')
('2017-04-17 12:54:37', '$SPY $SPX $QQQ $IWM $PCLN $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/E9zcLuT3xN')
('2017-04-17 12:54:19', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:53:45', '$NFLX will be up slightly today in anticipation of earnings')
('2017-04-17 12:53:35', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:53:17', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:52:59', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
('2017-04-17 12:52:18', 'RT @PipsToDollars: $NFLX EARNINGS AFTER THE CLOSE TODAY!\nMost millennials don‰Ûªt want to pay for Netflix https://t.co/vCk2ngCwyk')
('2017-04-17 12:52:06', 'RT @SJosephBurns: EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits http‰Û_')
('2017-04-17 12:51:56', '@PipsToDollars $NFLX earnings 4pm today  CALLS  YESSSS  https://t.co/ICS8qJlXXv')
('2017-04-17 12:51:30', 'EARNINGS THIS WEEK\n\nMon $NFLX $UAL\nTue $BAC $GS $IBM $JNJ\nWed $QCOM $MS $AXP\nThu $VZ $V $BX\nFri $GE $HON\n@StockTwits https://t.co/012HGJrEfs')
('2017-04-17 12:51:27'," ""$NFLX Canned earnings videos. gotta love this scammy company! it's never really took a major hit hopefully today's the day."")"
('2017-04-17 12:51:14', 'RT @amberkanwar: #5things on scraped together on a slow Monday $NFLX $MCD https://t.co/jS7zXxBS4A')
('2017-04-17 12:50:42', 'RT @StockTwits: EARNINGS THIS WEEK\n\nMon - $NFLX $UAL\nTue - $BAC $GS $IBM $JNJ\nWed - $QCOM $MS $AXP\nThu - $VZ $V $BX\nFri - $GE $HON\n\nhttps:/‰Û_')
